index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-005138.jpg
1,1,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-005138.jpg
2,2,,,What is the relation between the anesthetist and the patient?,The anesthetist is close to the patient,camera01_colorimage-005138.jpg
3,3,,,Is the drape doing something with the operating table?,The drape is lying on the operating table,camera01_colorimage-005138.jpg
4,4,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-005138.jpg
5,5,,,Is the nurse doing something with the patient?,The nurse is close to the patient,camera01_colorimage-005138.jpg
6,6,,,Is the assistant surgeon doing something with the patient?,The assistant surgeon is close to the patient,camera01_colorimage-005138.jpg
7,7,,,Is the mps doing something with the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-005138.jpg
8,8,,,What is the relation between the head surgeon and the patient?,The head surgeon is drilling the patient,camera01_colorimage-005138.jpg
9,9,,,What is the relation between the circulator and the instrument table?,The circulator is close to the instrument table,camera01_colorimage-005138.jpg
10,10,,,Is the circulator doing something with the instrument?,The circulator is holding the instrument,camera01_colorimage-005138.jpg
11,11,,,Is the head surgeon doing something with the drill?,The head surgeon is holding the drill,camera01_colorimage-005138.jpg
12,12,,,Is the nurse doing something with the instrument table?,The nurse is close to the instrument table,camera01_colorimage-000370.jpg
13,13,,,Is the circulator doing something with the nurse?,The circulator is assisting the nurse,camera01_colorimage-000370.jpg
14,14,,,What is the relation between the mps and the monitor?,The mps is close to the monitor,camera01_colorimage-000370.jpg
15,15,,,Is the mps doing something with the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-000370.jpg
16,16,,,What is the patient doing with the operating table?,The patient is lying on the operating table,camera01_colorimage-004826.jpg
17,17,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-004826.jpg
18,18,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-004826.jpg
19,19,,,Is the drape doing something with the operating table?,The drape is lying on the operating table,camera01_colorimage-004826.jpg
20,20,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-004826.jpg
21,21,,,What is the head surgeon doing with the patient?,The head surgeon is touching the patient,camera01_colorimage-004826.jpg
22,22,,,What is the nurse doing with the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-004826.jpg
23,23,,,What is the relation between the assistant surgeon and the patient?,The assistant surgeon is close to the patient,camera01_colorimage-004826.jpg
24,24,,,What is the mps doing with the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-004826.jpg
25,25,,,What is the nurse doing with the instrument table?,The nurse is close to the instrument table,camera01_colorimage-000554.jpg
26,26,,,What is the relation between the mps and the MPS station?,The mps is close to the MPS station,camera01_colorimage-000554.jpg
27,27,,,What is the mps doing with the tracker?,The mps is close to the tracker,camera01_colorimage-000554.jpg
28,28,,,What is the mps doing with the monitor?,The mps is close to the monitor,camera01_colorimage-000554.jpg
29,29,,,Is the circulator doing something with the instrument table?,The circulator is close to the instrument table,camera01_colorimage-000554.jpg
30,30,,,Is the circulator doing something with the nurse?,The circulator is assisting the nurse,camera01_colorimage-000554.jpg
31,31,,,Is the circulator doing something with the instrument?,The circulator is holding the instrument,camera01_colorimage-000554.jpg
32,32,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-004378.jpg
33,33,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-004378.jpg
34,34,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-004378.jpg
35,35,,,Is the drape doing something with the operating table?,The drape is lying on the operating table,camera01_colorimage-004378.jpg
36,36,,,What is the relation between the drape and the patient?,The drape is lying on the patient,camera01_colorimage-004378.jpg
37,37,,,What is the nurse doing with the patient?,The nurse is close to the patient,camera01_colorimage-004378.jpg
38,38,,,What is the head surgeon doing with the patient?,The head surgeon is close to the patient,camera01_colorimage-004378.jpg
39,39,,,What is the head surgeon doing with the robot?,The head surgeon is calibrating the robot,camera01_colorimage-004378.jpg
40,40,,,What is the robot doing with the patient?,The robot is close to the patient,camera01_colorimage-004378.jpg
41,41,,,Is the mps doing something with the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-004378.jpg
42,42,,,Is the head surgeon doing something with the saw?,The head surgeon is holding the saw,camera01_colorimage-004378.jpg
43,43,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-001024.jpg
44,44,,,Is the mps doing something with the monitor?,The mps is close to the monitor,camera01_colorimage-001024.jpg
45,45,,,What is the relation between the mps and the tracker?,The mps is close to the tracker,camera01_colorimage-001024.jpg
