index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,Is there a instrument table?,yes,camera01_colorimage-001186.jpg
1,1,,,Is there a instrument table?,yes,camera05_colorimage-003136.jpg
2,2,,,Is there a instrument table?,yes,camera05_colorimage-005489.jpg
3,3,,,Is there a instrument table?,yes,camera05_colorimage-005150.jpg
4,4,,,Is there a instrument table?,yes,camera05_colorimage-002803.jpg
5,5,,,Is there a instrument table?,yes,camera01_colorimage-006011.jpg
6,6,,,Is there a instrument table?,yes,camera01_colorimage-002717.jpg
7,7,,,Is there a instrument table?,yes,camera05_colorimage-004936.jpg
8,8,,,Is there a instrument table?,yes,camera01_colorimage-002329.jpg
9,9,,,Is there a instrument table?,yes,camera05_colorimage-001966.jpg
10,10,,,Is there a instrument table?,yes,camera05_colorimage-005541.jpg
11,11,,,Is there a instrument table?,yes,camera04_colorimage-004732.jpg
12,12,,,Is there a instrument table?,yes,camera01_colorimage-005391.jpg
13,13,,,Is there a instrument table?,yes,camera05_colorimage-000824.jpg
14,14,,,Is there a instrument table?,yes,camera01_colorimage-005536.jpg
15,15,,,Is there a instrument table?,yes,camera01_colorimage-001010.jpg
16,16,,,Is there a instrument table?,yes,camera05_colorimage-005208.jpg
17,17,,,Is there a instrument table?,yes,camera01_colorimage-002707.jpg
18,18,,,Is there a instrument table?,yes,camera01_colorimage-001221.jpg
19,19,,,Is there a instrument table?,yes,camera05_colorimage-005055.jpg
20,20,,,Is there a anesthesia equipment?,yes,camera05_colorimage-003136.jpg
21,21,,,Is there a anesthesia equipment?,yes,camera05_colorimage-005489.jpg
22,22,,,Is there a anesthesia equipment?,yes,camera05_colorimage-005150.jpg
23,23,,,Is there a anesthesia equipment?,yes,camera05_colorimage-002803.jpg
24,24,,,Is there a anesthesia equipment?,yes,camera05_colorimage-004936.jpg
25,25,,,Is there a anesthesia equipment?,yes,camera05_colorimage-001966.jpg
26,26,,,Is there a anesthesia equipment?,yes,camera05_colorimage-005541.jpg
27,27,,,Is there a anesthesia equipment?,yes,camera04_colorimage-004732.jpg
28,28,,,Is there a anesthesia equipment?,yes,camera05_colorimage-000824.jpg
29,29,,,Is there a anesthesia equipment?,yes,camera05_colorimage-005208.jpg
30,30,,,Is there a anesthesia equipment?,yes,camera05_colorimage-005055.jpg
31,31,,,Is there a anesthesia equipment?,yes,camera05_colorimage-001332.jpg
32,32,,,Is there a anesthesia equipment?,yes,camera04_colorimage-005318.jpg
33,33,,,Is there a anesthesia equipment?,yes,camera04_colorimage-001468.jpg
34,34,,,Is there a anesthesia equipment?,yes,camera04_colorimage-003754.jpg
35,35,,,Is there a anesthesia equipment?,yes,camera04_colorimage-002940.jpg
36,36,,,Is there a anesthesia equipment?,yes,camera04_colorimage-000459.jpg
37,37,,,Is there a anesthesia equipment?,yes,camera05_colorimage-001153.jpg
38,38,,,Is there a anesthesia equipment?,yes,camera05_colorimage-000760.jpg
39,39,,,Is there a anesthesia equipment?,yes,camera05_colorimage-001486.jpg
40,40,,,Is there a operating table?,yes,camera05_colorimage-005489.jpg
41,41,,,Is there a operating table?,yes,camera01_colorimage-002717.jpg
42,42,,,Is there a operating table?,yes,camera01_colorimage-002329.jpg
43,43,,,Is there a operating table?,yes,camera05_colorimage-005541.jpg
44,44,,,Is there a operating table?,yes,camera04_colorimage-004732.jpg
45,45,,,Is there a operating table?,yes,camera01_colorimage-005391.jpg
46,46,,,Is there a operating table?,yes,camera01_colorimage-005536.jpg
47,47,,,Is there a operating table?,yes,camera01_colorimage-002707.jpg
48,48,,,Is there a operating table?,yes,camera04_colorimage-005318.jpg
49,49,,,Is there a operating table?,yes,camera04_colorimage-003754.jpg
50,50,,,Is there a operating table?,yes,camera04_colorimage-002940.jpg
51,51,,,Is there a operating table?,yes,camera01_colorimage-004021.jpg
52,52,,,Is there a operating table?,yes,camera01_colorimage-004058.jpg
53,53,,,Is there a operating table?,yes,camera04_colorimage-004648.jpg
54,54,,,Is there a operating table?,yes,camera04_colorimage-002308.jpg
55,55,,,Is there a operating table?,yes,camera01_colorimage-004639.jpg
56,56,,,Is there a operating table?,yes,camera01_colorimage-004244.jpg
57,57,,,Is there a operating table?,yes,camera01_colorimage-003836.jpg
58,58,,,Is there a operating table?,yes,camera04_colorimage-004028.jpg
59,59,,,Is there a operating table?,yes,camera01_colorimage-003690.jpg
60,60,,,Is there a MPS station?,yes,camera01_colorimage-001186.jpg
61,61,,,Is there a MPS station?,yes,camera05_colorimage-003136.jpg
62,62,,,Is there a MPS station?,yes,camera05_colorimage-005489.jpg
63,63,,,Is there a MPS station?,yes,camera05_colorimage-005150.jpg
64,64,,,Is there a MPS station?,yes,camera05_colorimage-002803.jpg
65,65,,,Is there a MPS station?,yes,camera01_colorimage-006011.jpg
66,66,,,Is there a MPS station?,yes,camera01_colorimage-002717.jpg
67,67,,,Is there a MPS station?,yes,camera05_colorimage-004936.jpg
68,68,,,Is there a MPS station?,yes,camera01_colorimage-002329.jpg
69,69,,,Is there a MPS station?,yes,camera05_colorimage-001966.jpg
70,70,,,Is there a MPS station?,yes,camera05_colorimage-005541.jpg
71,71,,,Is there a MPS station?,yes,camera04_colorimage-004732.jpg
72,72,,,Is there a MPS station?,yes,camera01_colorimage-005391.jpg
73,73,,,Is there a MPS station?,yes,camera05_colorimage-000824.jpg
74,74,,,Is there a MPS station?,yes,camera01_colorimage-005536.jpg
75,75,,,Is there a MPS station?,yes,camera01_colorimage-001010.jpg
76,76,,,Is there a MPS station?,yes,camera05_colorimage-005208.jpg
77,77,,,Is there a MPS station?,yes,camera01_colorimage-002707.jpg
78,78,,,Is there a MPS station?,yes,camera01_colorimage-001221.jpg
79,79,,,Is there a MPS station?,yes,camera05_colorimage-005055.jpg
80,80,,,Is there a patient?,yes,camera05_colorimage-003136.jpg
81,81,,,Is there a patient?,yes,camera05_colorimage-005489.jpg
82,82,,,Is there a patient?,yes,camera05_colorimage-005150.jpg
83,83,,,Is there a patient?,yes,camera01_colorimage-002717.jpg
84,84,,,Is there a patient?,yes,camera01_colorimage-002329.jpg
85,85,,,Is there a patient?,yes,camera05_colorimage-005541.jpg
86,86,,,Is there a patient?,yes,camera01_colorimage-005391.jpg
87,87,,,Is there a patient?,yes,camera01_colorimage-005536.jpg
88,88,,,Is there a patient?,yes,camera05_colorimage-005208.jpg
89,89,,,Is there a patient?,yes,camera01_colorimage-002707.jpg
90,90,,,Is there a patient?,yes,camera05_colorimage-005055.jpg
91,91,,,Is there a patient?,yes,camera04_colorimage-005318.jpg
92,92,,,Is there a patient?,yes,camera04_colorimage-003754.jpg
93,93,,,Is there a patient?,yes,camera04_colorimage-002940.jpg
94,94,,,Is there a patient?,yes,camera01_colorimage-004021.jpg
95,95,,,Is there a patient?,yes,camera01_colorimage-004058.jpg
96,96,,,Is there a patient?,yes,camera05_colorimage-004241.jpg
97,97,,,Is there a patient?,yes,camera05_colorimage-003665.jpg
98,98,,,Is there a patient?,yes,camera05_colorimage-003538.jpg
99,99,,,Is there a patient?,yes,camera04_colorimage-002308.jpg
100,100,,,Is there a drape?,yes,camera05_colorimage-003136.jpg
101,101,,,Is there a drape?,yes,camera05_colorimage-005489.jpg
102,102,,,Is there a drape?,yes,camera05_colorimage-005150.jpg
103,103,,,Is there a drape?,yes,camera05_colorimage-002803.jpg
104,104,,,Is there a drape?,yes,camera01_colorimage-002717.jpg
105,105,,,Is there a drape?,yes,camera05_colorimage-004936.jpg
106,106,,,Is there a drape?,yes,camera05_colorimage-005541.jpg
107,107,,,Is there a drape?,yes,camera04_colorimage-004732.jpg
108,108,,,Is there a drape?,yes,camera01_colorimage-005391.jpg
109,109,,,Is there a drape?,yes,camera01_colorimage-005536.jpg
110,110,,,Is there a drape?,yes,camera05_colorimage-005208.jpg
111,111,,,Is there a drape?,yes,camera01_colorimage-002707.jpg
112,112,,,Is there a drape?,yes,camera05_colorimage-005055.jpg
113,113,,,Is there a drape?,yes,camera04_colorimage-005318.jpg
114,114,,,Is there a drape?,yes,camera04_colorimage-003754.jpg
115,115,,,Is there a drape?,yes,camera04_colorimage-002940.jpg
116,116,,,Is there a drape?,yes,camera05_colorimage-004577.jpg
117,117,,,Is there a drape?,yes,camera01_colorimage-004021.jpg
118,118,,,Is there a drape?,yes,camera01_colorimage-004058.jpg
119,119,,,Is there a drape?,yes,camera04_colorimage-004648.jpg
120,120,,,Is there a anesthetist?,yes,camera05_colorimage-003136.jpg
121,121,,,Is there a anesthetist?,yes,camera05_colorimage-005150.jpg
122,122,,,Is there a anesthetist?,yes,camera05_colorimage-004936.jpg
123,123,,,Is there a anesthetist?,yes,camera05_colorimage-001966.jpg
124,124,,,Is there a anesthetist?,yes,camera05_colorimage-005541.jpg
125,125,,,Is there a anesthetist?,yes,camera04_colorimage-004732.jpg
126,126,,,Is there a anesthetist?,yes,camera05_colorimage-005208.jpg
127,127,,,Is there a anesthetist?,yes,camera05_colorimage-005055.jpg
128,128,,,Is there a anesthetist?,yes,camera04_colorimage-003754.jpg
129,129,,,Is there a anesthetist?,yes,camera04_colorimage-002940.jpg
130,130,,,Is there a anesthetist?,yes,camera04_colorimage-004648.jpg
131,131,,,Is there a anesthetist?,yes,camera04_colorimage-002308.jpg
132,132,,,Is there a anesthetist?,yes,camera04_colorimage-004028.jpg
133,133,,,Is there a anesthetist?,yes,camera04_colorimage-002391.jpg
134,134,,,Is there a anesthetist?,yes,camera05_colorimage-002949.jpg
135,135,,,Is there a anesthetist?,yes,camera04_colorimage-003844.jpg
136,136,,,Is there a anesthetist?,yes,camera04_colorimage-002208.jpg
137,137,,,Is there a anesthetist?,yes,camera05_colorimage-002103.jpg
138,138,,,Is there a anesthetist?,yes,camera05_colorimage-001833.jpg
139,139,,,Is there a anesthetist?,yes,camera05_colorimage-005843.jpg
140,140,,,Is there a circulator?,yes,camera01_colorimage-001186.jpg
141,141,,,Is there a circulator?,yes,camera05_colorimage-003136.jpg
142,142,,,Is there a circulator?,yes,camera05_colorimage-005489.jpg
143,143,,,Is there a circulator?,yes,camera05_colorimage-005150.jpg
144,144,,,Is there a circulator?,yes,camera05_colorimage-002803.jpg
145,145,,,Is there a circulator?,yes,camera01_colorimage-002717.jpg
146,146,,,Is there a circulator?,yes,camera05_colorimage-004936.jpg
147,147,,,Is there a circulator?,yes,camera05_colorimage-005541.jpg
148,148,,,Is there a circulator?,yes,camera05_colorimage-000824.jpg
149,149,,,Is there a circulator?,yes,camera01_colorimage-005536.jpg
150,150,,,Is there a circulator?,yes,camera01_colorimage-002707.jpg
151,151,,,Is there a circulator?,yes,camera01_colorimage-001221.jpg
152,152,,,Is there a circulator?,yes,camera05_colorimage-005055.jpg
153,153,,,Is there a circulator?,yes,camera04_colorimage-001468.jpg
154,154,,,Is there a circulator?,yes,camera04_colorimage-000459.jpg
155,155,,,Is there a circulator?,yes,camera05_colorimage-001153.jpg
156,156,,,Is there a circulator?,yes,camera05_colorimage-000760.jpg
157,157,,,Is there a circulator?,yes,camera05_colorimage-001486.jpg
158,158,,,Is there a circulator?,yes,camera05_colorimage-001347.jpg
159,159,,,Is there a circulator?,yes,camera04_colorimage-002308.jpg
160,160,,,Is there a assistant surgeon?,yes,camera05_colorimage-003136.jpg
161,161,,,Is there a assistant surgeon?,yes,camera05_colorimage-005150.jpg
162,162,,,Is there a assistant surgeon?,yes,camera05_colorimage-002803.jpg
163,163,,,Is there a assistant surgeon?,yes,camera01_colorimage-002717.jpg
164,164,,,Is there a assistant surgeon?,yes,camera05_colorimage-004936.jpg
165,165,,,Is there a assistant surgeon?,yes,camera01_colorimage-002329.jpg
166,166,,,Is there a assistant surgeon?,yes,camera04_colorimage-004732.jpg
167,167,,,Is there a assistant surgeon?,yes,camera01_colorimage-005391.jpg
168,168,,,Is there a assistant surgeon?,yes,camera05_colorimage-005208.jpg
169,169,,,Is there a assistant surgeon?,yes,camera01_colorimage-002707.jpg
170,170,,,Is there a assistant surgeon?,yes,camera05_colorimage-005055.jpg
171,171,,,Is there a assistant surgeon?,yes,camera04_colorimage-005318.jpg
172,172,,,Is there a assistant surgeon?,yes,camera04_colorimage-003754.jpg
173,173,,,Is there a assistant surgeon?,yes,camera04_colorimage-002940.jpg
174,174,,,Is there a assistant surgeon?,yes,camera05_colorimage-004577.jpg
175,175,,,Is there a assistant surgeon?,yes,camera01_colorimage-004021.jpg
176,176,,,Is there a assistant surgeon?,yes,camera01_colorimage-004058.jpg
177,177,,,Is there a assistant surgeon?,yes,camera04_colorimage-004648.jpg
178,178,,,Is there a assistant surgeon?,yes,camera05_colorimage-004241.jpg
179,179,,,Is there a assistant surgeon?,yes,camera05_colorimage-003538.jpg
180,180,,,Is there a head surgeon?,yes,camera05_colorimage-003136.jpg
181,181,,,Is there a head surgeon?,yes,camera05_colorimage-005150.jpg
182,182,,,Is there a head surgeon?,yes,camera05_colorimage-004936.jpg
183,183,,,Is there a head surgeon?,yes,camera04_colorimage-004732.jpg
184,184,,,Is there a head surgeon?,yes,camera05_colorimage-005208.jpg
185,185,,,Is there a head surgeon?,yes,camera05_colorimage-005055.jpg
186,186,,,Is there a head surgeon?,yes,camera04_colorimage-003754.jpg
187,187,,,Is there a head surgeon?,yes,camera04_colorimage-002940.jpg
188,188,,,Is there a head surgeon?,yes,camera05_colorimage-004577.jpg
189,189,,,Is there a head surgeon?,yes,camera01_colorimage-004021.jpg
190,190,,,Is there a head surgeon?,yes,camera01_colorimage-004058.jpg
