index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,Is there a hammering sound?,yes,camera01_colorimage-003719.jpg
1,1,,,Is there a hammering sound?,yes,camera01_colorimage-004769.jpg
2,2,,,Is there a hammering sound?,yes,camera01_colorimage-004774.jpg
3,3,,,Is there a hammering sound?,yes,camera01_colorimage-004804.jpg
4,4,,,Is there a hammering sound?,yes,camera01_colorimage-005044.jpg
5,5,,,Is there a hammering sound?,no,camera01_colorimage-003109.jpg
6,6,,,Is there a hammering sound?,no,camera01_colorimage-003114.jpg
7,7,,,Is there a hammering sound?,no,camera01_colorimage-001369.jpg
8,8,,,Is there a hammering sound?,no,camera01_colorimage-001494.jpg
9,9,,,Is there a hammering sound?,no,camera01_colorimage-001744.jpg
10,10,,,Is there a sawing sound?,yes,camera01_colorimage-004409.jpg
11,11,,,Is there a sawing sound?,yes,camera01_colorimage-004414.jpg
12,12,,,Is there a sawing sound?,yes,camera01_colorimage-004419.jpg
13,13,,,Is there a sawing sound?,yes,camera01_colorimage-004429.jpg
14,14,,,Is there a sawing sound?,yes,camera01_colorimage-004434.jpg
15,15,,,Is there a sawing sound?,no,camera01_colorimage-003389.jpg
16,16,,,Is there a sawing sound?,no,camera01_colorimage-003419.jpg
17,17,,,Is there a sawing sound?,no,camera01_colorimage-001504.jpg
18,18,,,Is there a sawing sound?,no,camera01_colorimage-003969.jpg
19,19,,,Is there a sawing sound?,no,camera01_colorimage-002234.jpg
20,20,,,Is there a drilling sound?,yes,camera01_colorimage-003389.jpg
21,21,,,Is there a drilling sound?,yes,camera01_colorimage-003419.jpg
22,22,,,Is there a drilling sound?,yes,camera01_colorimage-003424.jpg
23,23,,,Is there a drilling sound?,yes,camera01_colorimage-003504.jpg
24,24,,,Is there a drilling sound?,yes,camera01_colorimage-003534.jpg
25,25,,,Is there a drilling sound?,no,camera01_colorimage-004409.jpg
26,26,,,Is there a drilling sound?,no,camera01_colorimage-004414.jpg
27,27,,,Is there a drilling sound?,no,camera01_colorimage-003964.jpg
28,28,,,Is there a drilling sound?,no,camera01_colorimage-004089.jpg
29,29,,,Is there a drilling sound?,no,camera01_colorimage-002534.jpg
