index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,What is the current operation phase?,,camera01_colorimage-000329.jpg
1,1,,,What is the current operation phase?,,camera01_colorimage-000330.jpg
2,2,,,What is the current operation phase?,,camera01_colorimage-000331.jpg
3,3,,,What is the current operation phase?,,camera01_colorimage-000332.jpg
4,4,,,What is the current operation phase?,,camera01_colorimage-000333.jpg
5,5,,,What is the current operation phase?,,camera01_colorimage-000334.jpg
6,6,,,What is the current operation phase?,,camera01_colorimage-000335.jpg
7,7,,,What is the current operation phase?,,camera01_colorimage-000336.jpg
8,8,,,What is the current operation phase?,,camera01_colorimage-000337.jpg
9,9,,,What is the current operation phase?,,camera01_colorimage-000338.jpg
10,10,,,What is the current operation phase?,,camera01_colorimage-000339.jpg
11,11,,,What is the current operation phase?,,camera01_colorimage-000340.jpg
12,12,,,What is the current operation phase?,,camera01_colorimage-000341.jpg
13,13,,,What is the current operation phase?,,camera01_colorimage-000342.jpg
14,14,,,What is the current operation phase?,,camera01_colorimage-000343.jpg
15,15,,,What is the current operation phase?,,camera01_colorimage-000344.jpg
16,16,,,What is the current operation phase?,,camera01_colorimage-000345.jpg
17,17,,,What is the current operation phase?,,camera01_colorimage-000346.jpg
18,18,,,What is the current operation phase?,,camera01_colorimage-000347.jpg
19,19,,,What is the current operation phase?,,camera01_colorimage-000348.jpg
20,20,,,What is the current operation phase?,,camera01_colorimage-000349.jpg
21,21,,,What is the current operation phase?,,camera01_colorimage-000350.jpg
22,22,,,What is the current operation phase?,,camera01_colorimage-000351.jpg
23,23,,,What is the current operation phase?,,camera01_colorimage-000352.jpg
24,24,,,What is the current operation phase?,,camera01_colorimage-000353.jpg
25,25,,,What is the current operation phase?,,camera01_colorimage-000354.jpg
26,26,,,What is the current operation phase?,,camera01_colorimage-000355.jpg
27,27,,,What is the current operation phase?,,camera01_colorimage-000356.jpg
28,28,,,What is the current operation phase?,,camera01_colorimage-000357.jpg
29,29,,,What is the current operation phase?,,camera01_colorimage-000358.jpg
30,30,,,What is the current operation phase?,,camera01_colorimage-000359.jpg
31,31,,,What is the current operation phase?,,camera01_colorimage-000360.jpg
32,32,,,What is the current operation phase?,,camera01_colorimage-000361.jpg
33,33,,,What is the current operation phase?,,camera01_colorimage-000362.jpg
34,34,,,What is the current operation phase?,,camera01_colorimage-000363.jpg
35,35,,,What is the current operation phase?,,camera01_colorimage-000364.jpg
36,36,,,What is the current operation phase?,,camera01_colorimage-000365.jpg
37,37,,,What is the current operation phase?,,camera01_colorimage-000366.jpg
38,38,,,What is the current operation phase?,,camera01_colorimage-000367.jpg
